"","faggch","faggat","faggde","faggfr","faggit"
"2015-11-03 16:00:00",45.7623410032871,231.18104763768,697.985892492629,104.849986769376,475
"2015-11-03 17:00:00",45.3182696288119,225.754396549029,686.951045283978,106.642733476283,475
"2015-11-03 18:00:00",47.4688028482421,229.217246102668,693.115490956554,112.1937500904,475
"2015-11-03 19:00:00",40.0946692233941,248.816068445791,703.883632691515,110.187272215056,475
"2015-11-03 20:00:00",34.9484287812041,240.477652402582,714.459143132939,103.470359734445,475
"2015-11-03 21:00:00",33.3734161349134,261.717325111863,718.045620618209,98.7624633777526,475
"2015-11-03 22:00:00",26.6930609418283,264.235799553144,715.89650174458,98.3017026052865,475
"2015-11-03 23:00:00",23.7385520361991,269.584545946311,712.146431736735,91.8844397371049,475
"2015-11-04 00:00:00",21.6273942420682,261.263278135541,700.944624128714,84.7879607354945,475
"2015-11-04 01:00:00",21.3637905162065,265.235314883947,689.868878221988,69.6947600350511,475
"2015-11-04 02:00:00",17.3836959806588,267.595174502944,679.539837920137,66.3629426723329,475
"2015-11-04 03:00:00",16.4787906411425,276.076253776435,681.064358670827,72.1727511657482,475
"2015-11-04 04:00:00",21.3561235356763,272.262525659545,681.534962801768,82.1113936381042,475
"2015-11-04 05:00:00",34.5959549528844,260.513938580799,671.055246384206,98.6865092080137,475
"2015-11-04 06:00:00",44.7226111394992,248.793496417518,668.571737336669,116.003002713621,475
"2015-11-04 07:00:00",45.9867095922074,262.306427390158,647.145284674063,117.734949073506,475
"2015-11-04 08:00:00",50.5079800673779,272.674178415409,628.064826340021,116.085740122212,475
"2015-11-04 09:00:00",49.7138752627891,291.588391930836,616.597310677842,113.115277308602,475
"2015-11-04 10:00:00",44.4688075618032,296.500734386934,606.325557450731,111.825344079069,475
"2015-11-04 11:00:00",39.4752601040416,303.5547489258,606.326312330266,113.675412063032,475
"2015-11-04 12:00:00",40.5851182056981,301.685759691242,622.493826181848,112.652715772667,475
"2015-11-04 13:00:00",43.4369644924739,285.793461882563,647.6842655326,110.085669259863,475
"2015-11-04 14:00:00",41.3846760070053,285.981196544828,673.281418829634,107.475818372162,475
"2015-11-04 15:00:00",44.0907974001268,274.014985607823,675.398717580774,108.214053431819,475
"2015-11-04 16:00:00",52.0935212009481,259.168111498749,656.01065437131,109.993722772902,475
"2015-11-04 17:00:00",53.4882970550576,258.615865485244,643.533415283243,109.476835882002,475
"2015-11-04 18:00:00",50.2784784053156,267.386676074121,647.793888406856,112.283155019521,475
"2015-11-04 19:00:00",43.8686985675099,318.926542756391,655.22220751335,111.02920998249,475
"2015-11-04 20:00:00",36.2264223311315,322.512905053835,663.907816228887,106.493305171531,475
"2015-11-04 21:00:00",32.2880923743084,327.794007231094,654.357296989967,98.1355090027701,475
"2015-11-04 22:00:00",29.2765085024685,323.715668101876,32.8740160274418,96.155674820189,475
"2015-11-04 23:00:00",19.573001175779,283.170761458847,536.982489215952,88.5414860007415,475
"2015-11-05 00:00:00",19.1526283987915,285.017111130541,684.958454308161,77.5875065967412,475
"2015-11-05 01:00:00",18.6870487364621,282.404378431025,685.89217737368,68.2912858696561,475
"2015-11-05 02:00:00",16.9794780728845,281.294110342381,680.997977692408,66.0300090867787,475
"2015-11-05 03:00:00",17.0809902200489,292.868070896481,679.286932737482,68.6906577716919,475
"2015-11-05 04:00:00",20.1618133490845,310.433032886723,679.22632415165,75.3181973731382,475
"2015-11-05 05:00:00",33.7818223760092,300.703510821446,674.756049454875,96.6546904828967,475
"2015-11-05 06:00:00",37.1383094954311,264.506033734059,668.170292417301,104.495845794952,475
"2015-11-05 07:00:00",36.4052487232835,245.037824937872,655.846117890161,104.419044559647,475
"2015-11-05 08:00:00",36.3723855285472,266.448692202802,634.393703553842,103.161636269276,475
"2015-11-05 09:00:00",36.307001934236,307.884746524165,602.281661864878,101.141960186035,475
"2015-11-05 10:00:00",34.6434548903879,307.199831563187,579.91036009911,99.1156730369755,475
"2015-11-05 11:00:00",30.9194891201514,341.932870833553,573.383882401204,95.8602140150108,475
"2015-11-05 12:00:00",31.333546819788,333.512422287664,587.171389999822,93.7430256295634,475
"2015-11-05 13:00:00",37.5371784484505,304.707414274405,618.42623789385,90.5571080170943,475
"2015-11-05 14:00:00",39.6536686151985,296.834813938481,661.204051952926,90.6522536616333,475
"2015-11-05 15:00:00",39.195650887574,290.165665040919,681.793440759221,89.9491571292503,475
"2015-11-05 16:00:00",46.3210052513128,265.486141549084,669.433113926444,90.2237687806886,475
"2015-11-05 17:00:00",45.9605617977528,266.582963694647,667.639422283356,92.9524733675632,475
"2015-11-05 18:00:00",47.8579034779211,274.104845051779,655.712292999588,96.7422099315837,475
"2015-11-05 19:00:00",38.9037263157895,298.091975799699,643.544276817435,97.7328332672453,475
"2015-11-05 20:00:00",37.6636909965035,352.255152060824,640.704465337446,93.610136045892,475
"2015-11-05 21:00:00",36.5936344969199,312.780781789059,636.961792734367,92.205757976815,475
"2015-11-05 22:00:00",24.587821888412,296.119065181394,642.115182314144,93.0617758106479,475
"2015-11-05 23:00:00",21.2112989323843,283.730614308587,645.699627635884,81.4265700324125,475
"2015-11-06 00:00:00",21.401986853899,270.839330579935,641.147387324709,66.6759145005226,475
"2015-11-06 01:00:00",19.5807786259542,271.156820918631,639.908680854463,57.3984791235335,475
"2015-11-06 02:00:00",19.8791966426859,273.990548409525,634.871198771479,57.393082340666,475
"2015-11-06 03:00:00",19.7615081768625,287.90516281424,632.864896711164,56.4596544732908,475
