"","TEFa","TEFb","TEFc","TEFd"
"2015-01-02 06:00:00",160.857483754862,50.6720190687273,113.509243174748,94.6229229467692
"2015-01-02 07:00:00",158.224809469234,44.5250854618928,112.663424978048,93.1704231111467
"2015-01-02 08:00:00",153.192645444744,27.7878905459842,107.257988773286,85.9527231355426
"2015-01-02 09:00:00",134.158738294336,40.9708791568314,102.113094793378,86.4675877695598
"2015-01-02 10:00:00",132.068887285253,51.7284445761431,103.970525228432,90.4337023176838
"2015-01-02 11:00:00",127.009518458813,52.6736386579377,101.647845650304,89.1894875332993
"2015-01-02 12:00:00",126.37999139706,56.6912259479133,102.014517307712,90.2731701160295
"2015-01-02 13:00:00",129.781748433464,59.6227269603136,104.455453750085,92.5641295565742
"2015-01-02 14:00:00",134.339480876405,61.9158528917719,108.077041062292,95.792577276091
"2015-01-02 15:00:00",138.226005908635,64.9706814856658,111.306731480038,98.8551433525531
"2015-01-02 16:00:00",136.156709649552,30.7040635306506,101.672625467696,84.184108629818
"2015-01-02 17:00:00",146.329608313516,25,98.0455472433328,72.5308056997833
"2015-01-02 18:00:00",164.24755983419,25,103.582155942449,73.1416672949925
"2015-01-02 19:00:00",166.000566347438,25,109.60757209965,84.4234189220927
"2015-01-02 20:00:00",165.602932644992,39.5603614540895,112.820939983612,91.1972925662026
"2015-01-02 21:00:00",159.029065300397,41.6188403958549,110.742924611457,90.5992404487189
"2015-01-02 22:00:00",145.082661041046,43.8523613236051,104.714630798642,87.3635085397396
"2015-01-02 23:00:00",131.226458661594,48.8640031186392,98.1801789736286,84.0589243113711
"2015-01-03 00:00:00",122.88173628068,52.4748020234205,94.0253502882117,81.9463803735339
"2015-01-03 01:00:00",123.608640331776,56.059684797952,95.1361789495943,83.5491392409746
"2015-01-03 02:00:00",125.627709694993,56.0249449870767,95.7119213732921,83.7818123779873
"2015-01-03 03:00:00",135.195632644285,56.5692896347363,100.532144865936,87.0807531178006
"2015-01-03 04:00:00",132.352126181394,55.4671396155952,98.9587352617585,85.7890469851708
"2015-01-03 05:00:00",131.206373455766,56.4059743208904,99.1968247255769,86.3729647891838
"2015-01-03 06:00:00",133.404069108487,57.7167798905247,101.678179962986,88.6936046377825
"2015-01-03 07:00:00",135.056748303917,58.6670507625356,103.745491755571,90.6401052465849
"2015-01-03 08:00:00",145.74737962785,59.5498640271869,110.47423625509,95.6866101901355
"2015-01-03 09:00:00",141.884736400864,61.5336612859762,110.907172147117,97.1688285024989
"2015-01-03 10:00:00",125.999966315289,61.0352406177009,102.553873120811,91.5433459118767
"2015-01-03 11:00:00",120.349400585615,63.3488461799044,100.478202213382,90.8803359944893
"2015-01-03 12:00:00",125.077963061885,69.9175136401744,105.027225271882,95.6672397709437
"2015-01-03 13:00:00",130.227310846448,72.0363474630183,108.556710698145,98.6468347335357
"2015-01-03 14:00:00",142.553960533271,79.2464919556357,118.184689451282,107.362030056108
